Date,Exercise,Muscle Group,Sets,Reps,Weight,Duration,Note
01/01/2022,,#N/A,,,,,Old record
02/01/2022,,#N/A,,,,,Old record
03/01/2022,,#N/A,,,,,Old record
04/04/2022,Dumbbell Flat Bench Press,Chest,1,10,30,,
04/04/2022,Dumbbell Flat Bench Press,Chest,2,10,30,,
04/04/2022,Dumbbell Flat Bench Press,Chest,3,10,40,,
04/04/2022,Dumbbell Flat Bench Press,Chest,4,6,50,,
04/04/2022,Dumbbell Flat Bench Press,Chest,5,10,50,,
04/04/2022,Dumbbell Flat Bench Press,Chest,6,8,40,,
04/04/2022,Dumbbell Incline Bench Press,Chest,1,10,40,,
04/04/2022,Dumbbell Incline Bench Press,Chest,2,10,40,,
04/04/2022,Dumbbell Incline Bench Press,Chest,3,5,50,,
04/04/2022,Dumbbell Incline Bench Press,Chest,3,5,40,,
04/04/2022,Dumbbell Incline Bench Press,Chest,4,5,50,,
04/04/2022,Dumbbell Incline Bench Press,Chest,4,5,40,,
04/04/2022,Dumbbell Seated Shoulder Press,Shoulders,1,10,40,,
04/04/2022,Dumbbell Seated Shoulder Press,Shoulders,2,10,40,,
04/04/2022,Dumbbell Seated Shoulder Press,Shoulders,3,10,40,,
04/04/2022,Dumbbell Side Lateral Raise,Shoulders,1,15,10,,
04/04/2022,Dumbbell Side Lateral Raise,Shoulders,2,15,10,,
04/04/2022,Dumbbell Side Lateral Raise,Shoulders,3,15,10,,
04/04/2022,Dumbbell Front Raise,Shoulders,1,10,10,,
04/04/2022,Dumbbell Front Raise,Shoulders,2,12,10,,
04/04/2022,Dumbbell Front Raise,Shoulders,3,12,10,,
04/04/2022,Dumbbell Overhead Triceps Extension,Triceps,1,12,30,,
04/04/2022,Dumbbell Overhead Triceps Extension,Triceps,2,15,30,,
04/04/2022,Dumbbell Overhead Triceps Extension,Triceps,3,15,30,,
04/04/2022,Machine Butterfly,Chest,1,10,60,,
04/04/2022,Machine Butterfly,Chest,2,10,70,,
04/04/2022,Machine Butterfly,Chest,3,5,60,,
04/05/2022,,#N/A,,,,,went forgot to record
04/06/2022,Ez Barbell Regular-Grip Biceps Curl,Biceps,1,10,40,,
04/06/2022,Ez Barbell Regular-Grip Biceps Curl,Biceps,2,8,40,,
04/06/2022,Ez Barbell Regular-Grip Biceps Curl,Biceps,3,15,30,,
04/06/2022,Ez Barbell Regular-Grip Biceps Curl,Biceps,4,12,30,,
04/06/2022,Ez Barbell Regular-Grip Biceps Curl,Biceps,5,10,30,,
04/06/2022,Dumbbell Hammer Biceps Curl,Biceps,1,12,15,,
04/06/2022,Dumbbell Hammer Biceps Curl,Biceps,2,10,15,,
04/06/2022,Dumbbell Hammer Biceps Curl,Biceps,3,8,15,,
04/06/2022,Dumbbell Hammer Biceps Curl,Biceps,4,12,15,,
04/06/2022,Machine Iso Row,Back,1,10,50,,
04/06/2022,Machine Iso Row,Back,2,8,50,,
04/06/2022,Machine Iso Row,Back,3,8,60,,
04/06/2022,Machine Iso Row,Back,4,8,70,,
04/06/2022,Machine Iso Row Close Grip,Back,1,8,50,,
04/06/2022,Machine Iso Row Close Grip,Back,2,8,60,,
04/06/2022,Machine Iso Row Close Grip,Back,3,8,70,,
04/06/2022,Body Weight Pull-Up,Back,1,5,,,
04/06/2022,Body Weight Chin-Up,Biceps,1,5,,,
04/06/2022,Body Weight Dips,Triceps,2,10,,,
04/06/2022,Body Weight Dips,Triceps,2,10,,,
04/06/2022,Dumbbell Seated Shoulder Press,Shoulders,1,10,40,,
04/06/2022,Dumbbell Seated Shoulder Press,Shoulders,2,10,40,,
04/06/2022,Dumbbell Seated Shoulder Press,Shoulders,3,10,40,,
04/06/2022,Dumbbell Side Lateral Raise,Shoulders,1,15,10,,
04/06/2022,Dumbbell Side Lateral Raise,Shoulders,2,15,10,,
04/06/2022,Dumbbell Side Lateral Raise,Shoulders,3,15,10,,
04/06/2022,Dumbbell Front Raise,Shoulders,1,10,10,,
04/06/2022,Dumbbell Front Raise,Shoulders,2,12,10,,
04/06/2022,Dumbbell Front Raise,Shoulders,3,10,10,,
04/06/2022,Dumbbell Overhead Triceps Extension,Triceps,1,12,30,,
04/06/2022,Dumbbell Overhead Triceps Extension,Triceps,2,15,30,,
04/06/2022,Dumbbell Overhead Triceps Extension,Triceps,3,15,30,,
04/06/2022,Machine Butterfly,Chest,1,10,60,,
04/06/2022,Machine Butterfly,Chest,2,10,70,,
04/06/2022,Machine Butterfly,Chest,3,5,60,,
04/09/2022,Dumbbell One-Arm Biceps Curl,Biceps,1,10,15,,
04/09/2022,Dumbbell One-Arm Biceps Curl,Biceps,2,12,15,,
04/09/2022,Dumbbell One-Arm Biceps Curl,Biceps,3,10,15,,
04/09/2022,Dumbbell One-Arm Biceps Curl,Biceps,4,10,15,,
04/09/2022,Dumbbell Side Lateral Raise,Shoulders,1,10,15,,
04/09/2022,Dumbbell Side Lateral Raise,Shoulders,2,10,15,,
04/09/2022,Dumbbell Side Lateral Raise,Shoulders,3,8,15,,
04/09/2022,Dumbbell Side Lateral Raise,Shoulders,4,10,15,,
04/09/2022,Dumbbell Front Raise,Shoulders,1,10,15,,
04/09/2022,Dumbbell Front Raise,Shoulders,2,6,15,,
04/09/2022,Dumbbell Front Raise,Shoulders,3,6,15,,
04/09/2022,Dumbbell Front Raise,Shoulders,4,8,15,,
04/09/2022,Plate Front Raise,Shoulders,1,6,25,,
04/09/2022,Plate Front Raise,Shoulders,2,8,25,,
04/09/2022,Body Weight Pull-Up,Back,1,6,,,
04/09/2022,Body Weight Pull-Up,Back,2,6,,,
04/09/2022,Body Weight Chin-Up,Biceps,1,6,,,
04/09/2022,Body Weight Chin-Up,Biceps,2,6,,,
04/09/2022,Body Weight Chin-Up,Biceps,3,6,,,
04/09/2022,Body Weight Dips,Triceps,1,10,,,
04/09/2022,Body Weight Dips,Triceps,2,10,,,
04/09/2022,Body Weight Dips,Triceps,3,10,,,
04/09/2022,Body Weight Dips,Triceps,4,10,,,
04/10/2022,Machine Seated Leg Curl,Glutes_Hamstrings,1,8,50,,
04/10/2022,Machine Seated Leg Curl,Glutes_Hamstrings,2,5,60,,
04/10/2022,Machine Seated Leg Curl,Glutes_Hamstrings,3,16,60,,
04/10/2022,Machine Seated Leg Curl,Glutes_Hamstrings,4,8,70,,
04/10/2022,Machine Seated Leg Curl,Glutes_Hamstrings,5,8,60,,
04/10/2022,Dumbbell Walking Lunge,Quadriceps,1,10,20,,
04/10/2022,Dumbbell Walking Lunge,Quadriceps,2,10,20,,
04/10/2022,Dumbbell Walking Lunge,Quadriceps,3,10,20,,
04/10/2022,Dumbbell Goblet Squat,Quadriceps,1,10,30,,
04/10/2022,Dumbbell Goblet Squat,Quadriceps,2,10,30,,
04/10/2022,Dumbbell Goblet Squat,Quadriceps,3,10,30,,
04/11/2022,Barbell Flat Bench Press,Chest,1,10,65,,
04/11/2022,Barbell Flat Bench Press,Chest,2,10,95,,
04/11/2022,Barbell Flat Bench Press,Chest,3,8,115,,
04/11/2022,Barbell Flat Bench Press,Chest,4,5,135,,
04/11/2022,Barbell Flat Bench Press,Chest,5,5,135,,
04/11/2022,Dumbbell Incline Bench Press,Chest,1,10,25,,
04/11/2022,Dumbbell Incline Bench Press,Chest,2,10,50,,
04/11/2022,Dumbbell Incline Bench Press,Chest,3,10,50,,
04/11/2022,Dumbbell Incline Bench Press,Chest,4,10,50,,
04/11/2022,Dumbbell Front Raise,Shoulders,1,10,10,,
04/11/2022,Dumbbell Front Raise,Shoulders,2,10,10,,
04/11/2022,Dumbbell Front Raise,Shoulders,3,10,10,,
04/11/2022,Dumbbell Front Raise,Shoulders,4,10,10,,
04/11/2022,Dumbbell Side Lateral Raise,Shoulders,1,10,10,,
04/11/2022,Dumbbell Side Lateral Raise,Shoulders,2,10,10,,
04/11/2022,Dumbbell Side Lateral Raise,Shoulders,3,10,10,,
04/11/2022,Dumbbell Side Lateral Raise,Shoulders,4,10,10,,
04/12/2022,Dumbbell Flat Bench Press,Chest,1,10,25,,
04/12/2022,Dumbbell Flat Bench Press,Chest,2,10,35,,
04/12/2022,Dumbbell Flat Bench Press,Chest,3,8,35,,
04/12/2022,Dumbbell Flat Bench Press,Chest,4,8,35,,
04/12/2022,Dumbbell Close-Grip Bench Press,Triceps,1,10,25,,
04/12/2022,Dumbbell Close-Grip Bench Press,Triceps,2,8,25,,
04/12/2022,Dumbbell Close-Grip Bench Press,Triceps,3,8,35,,
04/12/2022,Dumbbell Close-Grip Bench Press,Triceps,4,8,35,,
04/12/2022,Dumbbell Seated Shoulder Press,Shoulders,1,8,25,,
04/12/2022,Dumbbell Seated Shoulder Press,Shoulders,2,8,35,,
04/12/2022,Dumbbell Seated Shoulder Press,Shoulders,3,8,35,,
