Date,Exercise,Muscle Group,Sets,Reps,Weight,Duration,Note
11/24/22,Pull Up,,1,6,BW,,
11/24/22,Pull Up,,2,5,BW,,
11/24/22,Dips,,1,14,BW,,
11/24/22,Dips,,2,11,BW,,
11/24/22,Dips,,3,10,BW,,
11/24/22,Chin Up,,1,8,BW,,
11/24/22,Chin Up,,2,8,BW,,
11/24/22,Lat Pull Down,,1,18,60,,
11/24/22,Lat Pull Down,,2,10,80,,
11/24/22,Lat Pull Down,,3,11,90,,
11/24/22,Lat Pull Down,,4,8,100,,
11/24/22,Machine Row,,1,15,50,,
11/24/22,Machine Row,,2,10,80,,
11/24/22,Machine Row,,3,10,90,,
11/24/22,Machine Row,,4,10,100,,
11/24/22,Leg Extension,,1,15,30,,
11/24/22,Leg Extension,,2,10,40,,
11/24/22,Leg Extension,,3,10,50,,
11/24/22,Leg Extension,,4,10,80,,
11/24/22,Dumbbell Row,,1,8,40,,
11/24/22,Dumbbell Row,,2,8,40,,
11/24/22,Dumbbell Row,,3,8,50,,
11/24/22,Dumbbell Shrug,,1,10,30,,
11/24/22,Dumbbell Shrug,,2,10,30,,
11/24/22,Dumbbell Shrug,,3,10,30,,
11/24/22,Machine Rear Delt (Reverse) Fly,,1,11,40,,
11/24/22,Machine Rear Delt (Reverse) Fly,,2,8,30,,
11/24/22,Machine Rear Delt (Reverse) Fly,,3,10,30,,
11/24/22,Machine Rear Delt (Reverse) Fly,,4,6,40,,
11/24/22,Pull Up,,1,6,BW,,
11/24/22,Pull Up,,2,3,BW,,
11/24/22,Dips,,1,16,BW,,
11/24/22,Dips,,2,13,BW,,
11/24/22,Dips,,3,12,BW,,
11/24/22,Chin Up,,1,8,BW,,
11/24/22,Chin Up,,2,3,BW,,
11/23/22,Pull Up,,1,8,BW,,
11/23/22,Pull Up,,2,8,BW,,
11/23/22,Pull Up,,3,5,15,,
11/23/22,Pull Up,,4,5,BW,,
11/23/22,Chin Up,,1,8,BW,,
11/23/22,Chin Up,,2,8,15,,
11/23/22,Chin Up,,3,5,15,,
11/23/22,Chin Up,,4,5,BW,,
11/23/22,Dips,,1,10,BW,,
11/23/22,Dips,,2,10,15,,
11/23/22,Dips,,3,10,25,,
11/23/22,Dips,,4,10,BW,,
11/23/22,Dumbbell Shoulder Press,,1,10,30,,
11/23/22,Dumbbell Shoulder Press,,2,10,40,,
11/23/22,Dumbbell Shoulder Press,,3,5,50,,
11/23/22,Dumbbell Shoulder Press,,4,5,40,,
11/23/22,Military (Bbl) Shoulder Press,,1,10,45,,
11/23/22,Military (Bbl) Shoulder Press,,2,10,65,,
11/23/22,Military (Bbl) Shoulder Press,,3,10,75,,
11/23/22,Military (Bbl) Shoulder Press,,4,10,65,,
11/23/22,Bicep Curl,,1,10,15,,
11/23/22,Bicep Curl,,2,10,20,,
11/23/22,Bicep Curl,,3,10,20,,
11/23/22,Bicep Curl,,4,10,15,,
11/23/22,Bicep Curl,,5,10,20,,
11/23/22,Hammer Curl,,1,10,20,,
11/23/22,Hammer Curl,,2,10,20,,
11/23/22,Hammer Curl,,3,10,20,,
11/23/22,Ez Barbell Bicep Curl,,1,10,30,,
11/23/22,Ez Barbell Bicep Curl,,2,10,30,,
