Date,Exercise,Muscle_group,Sets,Reps,Weight,Duration,Note,Total_volume,
04/04/2022,Dumbbell Shoulder Press,Shoulders,1,10,40,,,400,
04/04/2022,Dumbbell Shoulder Press,Shoulders,2,10,40,,,400,
04/04/2022,Dumbbell Shoulder Press,Shoulders,3,10,40,,,400,
04/04/2022,Dumbbell Bench Press,Chest,1,10,30,,,300,
04/04/2022,Dumbbell Bench Press,Chest,2,10,30,,,300,
04/04/2022,Dumbbell Bench Press,Chest,3,10,40,,,400,
04/04/2022,Dumbbell Bench Press,Chest,4,6,50,,,300,
04/04/2022,Dumbbell Bench Press,Chest,5,10,50,,,500,
04/04/2022,Dumbbell Bench Press,Chest,6,8,40,,,320,
04/04/2022,Dumbbell Incline Bench Press,Chest,1,10,40,,,400,
04/04/2022,Dumbbell Incline Bench Press,Chest,2,10,40,,,400,
04/04/2022,Dumbbell Incline Bench Press,Chest,3,5,50,,,250,
04/04/2022,Dumbbell Incline Bench Press,Chest,3,5,40,,,200,
04/04/2022,Dumbbell Incline Bench Press,Chest,4,5,50,,,250,
04/04/2022,Dumbbell Incline Bench Press,Chest,4,5,40,,,200,
04/04/2022,Dumbbell Overhead Triceps Extension,Triceps,1,12,30,,,360,
04/04/2022,Dumbbell Overhead Triceps Extension,Triceps,2,15,30,,,450,
04/04/2022,Dumbbell Overhead Triceps Extension,Triceps,3,15,30,,,450,
04/04/2022,Lat Raise,Shoulders,1,15,10,,,150,
04/04/2022,Lat Raise,Shoulders,2,15,10,,,150,
04/04/2022,Lat Raise,Shoulders,3,15,10,,,150,
04/04/2022,Front Raise,Shoulders,1,10,10,,,100,
04/04/2022,Front Raise,Shoulders,2,12,10,,,120,
04/04/2022,Front Raise,Shoulders,3,12,10,,,120,
04/06/2022,Chin Up,Biceps,1,5,,,,0,
04/06/2022,Dips,Triceps,1,10,,,,0,
04/06/2022,Dips,Triceps,2,10,,,,0,
04/06/2022,Pull Up,Back,1,5,,,,0,
04/06/2022,Dumbbell Shoulder Press,Shoulders,1,10,40,,,400,
04/06/2022,Dumbbell Shoulder Press,Shoulders,2,10,40,,,400,
04/06/2022,Dumbbell Shoulder Press,Shoulders,3,10,40,,,400,
04/06/2022,Dumbbell Overhead Triceps Extension,Triceps,1,12,30,,,360,
04/06/2022,Dumbbell Overhead Triceps Extension,Triceps,2,15,30,,,450,
04/06/2022,Dumbbell Overhead Triceps Extension,Triceps,3,15,30,,,450,
04/06/2022,Lat Raise,Shoulders,1,15,10,,,150,
04/06/2022,Lat Raise,Shoulders,2,15,10,,,150,
04/06/2022,Lat Raise,Shoulders,3,15,10,,,150,
04/06/2022,Front Raise,Shoulders,1,10,10,,,100,
04/06/2022,Front Raise,Shoulders,2,12,10,,,120,
04/06/2022,Front Raise,Shoulders,3,10,10,,,100,
04/09/2022,Chin Up,Biceps,1,6,,,,0,
04/09/2022,Chin Up,Biceps,2,6,,,,0,
04/09/2022,Chin Up,Biceps,3,6,,,,0,
04/09/2022,Dips,Triceps,1,10,,,,0,
04/09/2022,Dips,Triceps,2,10,,,,0,
04/09/2022,Dips,Triceps,3,10,,,,0,
04/09/2022,Dips,Triceps,4,10,,,,0,
04/09/2022,Pull Up,Back,1,6,,,,0,
04/09/2022,Pull Up,Back,2,6,,,,0,
04/09/2022,Lat Raise,Shoulders,1,10,15,,,150,
04/09/2022,Lat Raise,Shoulders,2,10,15,,,150,
04/09/2022,Lat Raise,Shoulders,3,8,15,,,120,
04/09/2022,Lat Raise,Shoulders,4,10,15,,,150,
04/09/2022,Front Raise,Shoulders,1,10,15,,,150,
04/09/2022,Front Raise,Shoulders,2,6,15,,,90,
04/09/2022,Front Raise,Shoulders,3,6,15,,,90,
04/09/2022,Front Raise,Shoulders,4,8,15,,,120,
04/11/2022,Dumbbell Incline Bench Press,Chest,1,10,25,,,250,
04/11/2022,Dumbbell Incline Bench Press,Chest,2,10,50,,,500,
04/11/2022,Dumbbell Incline Bench Press,Chest,3,10,50,,,500,
04/11/2022,Dumbbell Incline Bench Press,Chest,4,10,50,,,500,
04/11/2022,Front Raise,Shoulders,1,10,10,,,100,
04/11/2022,Front Raise,Shoulders,2,10,10,,,100,
04/11/2022,Front Raise,Shoulders,3,10,10,,,100,
04/11/2022,Front Raise,Shoulders,4,10,10,,,100,
04/11/2022,Lat Raise,Shoulders,1,10,10,,,100,
04/11/2022,Lat Raise,Shoulders,2,10,10,,,100,
04/11/2022,Lat Raise,Shoulders,3,10,10,,,100,
04/11/2022,Lat Raise,Shoulders,4,10,10,,,100,
04/12/2022,Dumbbell Shoulder Press,Shoulders,1,8,25,,,200,
04/12/2022,Dumbbell Shoulder Press,Shoulders,2,8,35,,,280,
04/12/2022,Dumbbell Shoulder Press,Shoulders,3,8,35,,,280,
04/12/2022,Dumbbell Shoulder Press,Shoulders,4,8,35,,,280,
04/12/2022,Dumbbell Bench Press,Chest,1,10,25,,,250,
04/12/2022,Dumbbell Bench Press,Chest,2,10,35,,,350,
04/12/2022,Dumbbell Bench Press,Chest,3,8,35,,,280,
04/12/2022,Dumbbell Bench Press,Chest,4,8,35,,,280,
04/19/2022,Dumbbell Shoulder Press,Shoulders,1,12,30,,,360,
04/19/2022,Dumbbell Shoulder Press,Shoulders,2,8,45,,,360,
04/19/2022,Dumbbell Shoulder Press,Shoulders,3,6,45,,,270,
04/19/2022,Dumbbell Shoulder Press,Shoulders,4,5,45,,,225,
04/19/2022,Dumbbell Shoulder Press,Shoulders,5,8,30,,,240,
04/19/2022,Dumbbell Bench Press,Chest,1,10,30,,,300,
04/19/2022,Dumbbell Bench Press,Chest,2,5,55,,,275,
04/19/2022,Dumbbell Bench Press,Chest,3,6,55,,,330,
04/19/2022,Dumbbell Bench Press,Chest,4,8,30,,,240,
04/19/2022,Dumbbell Incline Bench Press,Chest,1,10,30,,,300,
04/19/2022,Dumbbell Incline Bench Press,Chest,2,6,45,,,270,
04/19/2022,Dumbbell Incline Bench Press,Chest,3,8,45,,,360,
04/19/2022,Dumbbell Incline Bench Press,Chest,4,8,30,,,240,
04/19/2022,Lat Raise,Shoulders,1,12,10,,,120,
04/19/2022,Lat Raise,Shoulders,2,10,10,,,100,
04/19/2022,Lat Raise,Shoulders,3,10,10,,,100,
04/19/2022,Front Raise,Shoulders,1,12,10,,,120,
04/19/2022,Front Raise,Shoulders,2,10,10,,,100,
04/19/2022,Front Raise,Shoulders,3,10,10,,,100,
04/23/2022,Dips,Triceps,1,12,,,,0,
04/23/2022,Dips,Triceps,2,12,,,,0,
04/23/2022,Pull Up,Back,1,8,,,,0,
04/23/2022,Pull Up,Back,2,8,,,,0,
04/23/2022,Dumbbell Shoulder Press,Shoulders,1,8,35,,,280,
04/23/2022,Dumbbell Shoulder Press,Shoulders,2,8,35,,,280,
04/23/2022,Dumbbell Shoulder Press,Shoulders,3,8,35,,,280,
04/23/2022,Dumbbell Shoulder Press,Shoulders,4,8,35,,,280,
04/23/2022,Dumbbell Bench Press,Chest,1,8,35,,,280,
04/23/2022,Dumbbell Bench Press,Chest,2,8,45,,,360,
04/23/2022,Dumbbell Bench Press,Chest,3,8,45,,,360,
04/23/2022,Dumbbell Bench Press,Chest,4,8,50,,,400,
04/23/2022,Dumbbell Incline Bench Press,Chest,1,8,35,,,280,
04/23/2022,Dumbbell Incline Bench Press,Chest,2,8,35,,,280,
04/23/2022,Dumbbell Incline Bench Press,Chest,3,8,40,,,320,
04/24/2022,Dumbbell Shoulder Press,Shoulders,1,8,35,,,280,
04/24/2022,Dumbbell Shoulder Press,Shoulders,2,10,35,,,350,
04/24/2022,Dumbbell Shoulder Press,Shoulders,3,10,35,,,350,
04/24/2022,Lat Raise,Shoulders,1,10,15,,,150,
04/24/2022,Lat Raise,Shoulders,2,10,15,,,150,
04/24/2022,Lat Raise,Shoulders,3,12,15,,,180,
04/25/2022,Chin Up,Biceps,1,6,,,,0,
04/25/2022,Chin Up,Biceps,2,6,,,,0,
04/25/2022,Pull Up,Back,1,8,,,,0,
04/25/2022,Pull Up,Back,2,6,,,,0,
04/25/2022,Dumbbell Bench Press,Chest,1,10,40,,,400,
04/25/2022,Dumbbell Bench Press,Chest,2,8,50,,,400,
04/25/2022,Dumbbell Bench Press,Chest,3,8,60,,,480,
04/25/2022,Dumbbell Bench Press,Chest,4,8,50,,,400,
04/26/2022,Chin Up,Biceps,1,5,,,,0,
04/26/2022,Chin Up,Biceps,1,5,,,,0,
04/26/2022,Pull Up,Back,1,5,,,,0,
04/26/2022,Pull Up,Back,2,5,,,,0,
04/26/2022,Pull Up,Back,1,5,10,,,50,
04/26/2022,Pull Up,Back,2,5,10,,,50,
04/26/2022,Pull Up,Back,3,5,10,,,50,
04/26/2022,Chin Up,Biceps,1,5,10,,,50,
04/26/2022,Chin Up,Biceps,2,5,10,,,50,
04/26/2022,Chin Up,Biceps,3,5,10,,,50,
04/26/2022,Dips,Triceps,1,8,,,,0,
04/26/2022,Dips,Triceps,2,8,,,,0,
