Date,Exercise,Muscle,Sets,Reps,Weight,Duration,Note
5/31/2021,Bodyweight,Weight,1,1,127.8,,
6/1/2021,Bodyweight,Weight,1,1,128.3,,
6/7/2021,Bodyweight,Weight,1,1,130,,
6/9/2021,Bodyweight,Weight,1,1,128.9,,
7/8/2021,Bodyweight,Weight,1,1,129,,
7/10/2021,Bodyweight,Weight,1,1,125.8,,
7/11/2021,Bodyweight,Weight,1,1,126.7,,
7/12/2021,Bodyweight,Weight,1,1,126.2,,
7/14/2021,Bodyweight,Weight,1,1,126.2,,
7/15/2021,Bodyweight,Weight,1,1,127.3,,
7/17/2021,Bodyweight,Weight,1,1,127.1,,
7/22/2021,Bodyweight,Weight,1,1,127.9,,
7/28/2021,Bodyweight,Weight,1,1,128.3,,
7/29/2021,Bodyweight,Weight,1,1,127.1,,
8/2/2021,Bodyweight,Weight,1,1,128.1,,
8/3/2021,Bodyweight,Weight,1,1,128.3,,
8/6/2021,Bodyweight,Weight,1,1,130.4,,
8/9/2021,Bodyweight,Weight,1,1,132.2,,
8/10/2021,Bodyweight,Weight,1,1,127.5,,
8/12/2021,Bodyweight,Weight,1,1,128,,
8/13/2021,Bodyweight,Weight,1,1,128.2,,
8/16/2021,Bodyweight,Weight,1,1,128.5,,
8/18/2021,Bodyweight,Weight,1,1,128.3,,
8/23/2021,Bodyweight,Weight,1,1,129.4,,
8/25/2021,Bodyweight,Weight,1,1,126.3,,
9/5/2021,Bodyweight,Weight,1,1,128,,
9/6/2021,Bodyweight,Weight,1,1,126.5,,
9/29/2021,Bodyweight,Weight,1,1,130,,
10/25/2021,Bodyweight,Weight,1,1,129,,
10/26/2021,Bodyweight,Weight,1,1,128.7,,
11/1/2021,Dumbbell Bench Press,Chest,1,15,20,,
11/1/2021,Dumbbell Bench Press,Chest,2,15,20,,
11/1/2021,Dumbbell Bench Press,Chest,3,10,30,,
11/1/2021,Dumbbell Bench Press,Chest,4,10,30,,
11/1/2021,Dumbbell Bench Press,Chest,5,10,35,,
11/1/2021,Dumbbell Incline Bench Press,Chest,1,15,20,,
11/1/2021,Dumbbell Incline Bench Press,Chest,2,15,20,,
11/1/2021,Dumbbell Incline Bench Press,Chest,3,10,35,,
11/1/2021,Dumbbell Incline Bench Press,Chest,4,10,35,,
11/1/2021,Dumbbell Incline Bench Press,Chest,5,10,35,,
11/1/2021,Dumbbell Shoulder Press,Shoulders,1,15,20,,
11/1/2021,Dumbbell Shoulder Press,Shoulders,2,15,20,,
11/1/2021,Dumbbell Shoulder Press,Shoulders,3,10,35,,
11/1/2021,Dumbbell Shoulder Press,Shoulders,4,10,35,,
11/1/2021,Dumbbell Shoulder Press,Shoulders,5,10,35,,
11/1/2021,Dumbbell Shrugs,Back,1,10,35,,
11/1/2021,Dumbbell Shrugs,Back,2,10,35,,
11/1/2021,Dumbbell Shrugs,Back,3,10,35,,
11/1/2021,Dumbbell Shrugs,Back,4,10,35,,
11/1/2021,Dumbbell Shrugs,Back,5,10,35,,
11/1/2021,Dumbbell Overhead Triceps Extensions,Triceps,1,10,35,,
11/1/2021,Dumbbell Overhead Triceps Extensions,Triceps,2,10,35,,
