Date,Exercise,Muscle_group,Sets,Reps,Weight,Duration,Note,Total_volume
4/4/2022,Dumbbell Shoulder Press,Shoulders,1,10,40,,,400
4/4/2022,Dumbbell Shoulder Press,Shoulders,2,10,40,,,400
4/4/2022,Dumbbell Shoulder Press,Shoulders,3,10,40,,,400
4/4/2022,Dumbbell Bench Press,Chest,1,10,30,,,300
4/4/2022,Dumbbell Bench Press,Chest,2,10,30,,,300
4/4/2022,Dumbbell Bench Press,Chest,3,10,40,,,400
4/4/2022,Dumbbell Bench Press,Chest,4,6,50,,,300
4/4/2022,Dumbbell Bench Press,Chest,5,10,50,,,500
4/4/2022,Dumbbell Bench Press,Chest,6,8,40,,,320
4/4/2022,Dumbbell Incline Bench Press,Chest,1,10,40,,,400
4/4/2022,Dumbbell Incline Bench Press,Chest,2,10,40,,,400
4/4/2022,Dumbbell Incline Bench Press,Chest,3,5,50,,,250
4/4/2022,Dumbbell Incline Bench Press,Chest,3,5,40,,,200
4/4/2022,Dumbbell Incline Bench Press,Chest,4,5,50,,,250
4/4/2022,Dumbbell Incline Bench Press,Chest,4,5,40,,,200
4/4/2022,Dumbbell Overhead Triceps Extension,Triceps,1,12,30,,,360
4/4/2022,Dumbbell Overhead Triceps Extension,Triceps,2,15,30,,,450
4/4/2022,Dumbbell Overhead Triceps Extension,Triceps,3,15,30,,,450
4/4/2022,Lat Raise,Shoulders,1,15,10,,,150
4/4/2022,Lat Raise,Shoulders,2,15,10,,,150
4/4/2022,Lat Raise,Shoulders,3,15,10,,,150
4/4/2022,Front Raise,Shoulders,1,10,10,,,100
4/4/2022,Front Raise,Shoulders,2,12,10,,,120
4/4/2022,Front Raise,Shoulders,3,12,10,,,120
4/6/2022,Chin Up,Biceps,1,5,,,,0
4/6/2022,Dips,Triceps,1,10,,,,0
4/6/2022,Dips,Triceps,2,10,,,,0
4/6/2022,Pull Up,Back,1,5,,,,0
4/6/2022,Dumbbell Shoulder Press,Shoulders,1,10,40,,,400
4/6/2022,Dumbbell Shoulder Press,Shoulders,2,10,40,,,400
4/6/2022,Dumbbell Shoulder Press,Shoulders,3,10,40,,,400
4/6/2022,Dumbbell Overhead Triceps Extension,Triceps,1,12,30,,,360
4/6/2022,Dumbbell Overhead Triceps Extension,Triceps,2,15,30,,,450
4/6/2022,Dumbbell Overhead Triceps Extension,Triceps,3,15,30,,,450
4/6/2022,Lat Raise,Shoulders,1,15,10,,,150
4/6/2022,Lat Raise,Shoulders,2,15,10,,,150
4/6/2022,Lat Raise,Shoulders,3,15,10,,,150
4/6/2022,Front Raise,Shoulders,1,10,10,,,100
4/6/2022,Front Raise,Shoulders,2,12,10,,,120
4/6/2022,Front Raise,Shoulders,3,10,10,,,100
4/9/2022,Chin Up,Biceps,1,6,,,,0
4/9/2022,Chin Up,Biceps,2,6,,,,0
4/9/2022,Chin Up,Biceps,3,6,,,,0
4/9/2022,Dips,Triceps,1,10,,,,0
4/9/2022,Dips,Triceps,2,10,,,,0
4/9/2022,Dips,Triceps,3,10,,,,0
4/9/2022,Dips,Triceps,4,10,,,,0
4/9/2022,Pull Up,Back,1,6,,,,0
4/9/2022,Pull Up,Back,2,6,,,,0
4/9/2022,Lat Raise,Shoulders,1,10,15,,,150
4/9/2022,Lat Raise,Shoulders,2,10,15,,,150
4/9/2022,Lat Raise,Shoulders,3,8,15,,,120
4/9/2022,Lat Raise,Shoulders,4,10,15,,,150
4/9/2022,Front Raise,Shoulders,1,10,15,,,150
4/9/2022,Front Raise,Shoulders,2,6,15,,,90
4/9/2022,Front Raise,Shoulders,3,6,15,,,90
4/9/2022,Front Raise,Shoulders,4,8,15,,,120
4/11/2022,Dumbbell Incline Bench Press,Chest,1,10,25,,,250
4/11/2022,Dumbbell Incline Bench Press,Chest,2,10,50,,,500
4/11/2022,Dumbbell Incline Bench Press,Chest,3,10,50,,,500
4/11/2022,Dumbbell Incline Bench Press,Chest,4,10,50,,,500
4/11/2022,Front Raise,Shoulders,1,10,10,,,100
4/11/2022,Front Raise,Shoulders,2,10,10,,,100
4/11/2022,Front Raise,Shoulders,3,10,10,,,100
4/11/2022,Front Raise,Shoulders,4,10,10,,,100
4/11/2022,Lat Raise,Shoulders,1,10,10,,,100
4/11/2022,Lat Raise,Shoulders,2,10,10,,,100
4/11/2022,Lat Raise,Shoulders,3,10,10,,,100
4/11/2022,Lat Raise,Shoulders,4,10,10,,,100
4/12/2022,Dumbbell Shoulder Press,Shoulders,1,8,25,,,200
4/12/2022,Dumbbell Shoulder Press,Shoulders,2,8,35,,,280
4/12/2022,Dumbbell Shoulder Press,Shoulders,3,8,35,,,280
4/12/2022,Dumbbell Shoulder Press,Shoulders,4,8,35,,,280
4/12/2022,Dumbbell Bench Press,Chest,1,10,25,,,250
4/12/2022,Dumbbell Bench Press,Chest,2,10,35,,,350
4/12/2022,Dumbbell Bench Press,Chest,3,8,35,,,280
4/12/2022,Dumbbell Bench Press,Chest,4,8,35,,,280
4/19/2022,Dumbbell Shoulder Press,Shoulders,1,12,30,,,360
4/19/2022,Dumbbell Shoulder Press,Shoulders,2,8,45,,,360
4/19/2022,Dumbbell Shoulder Press,Shoulders,3,6,45,,,270
4/19/2022,Dumbbell Shoulder Press,Shoulders,4,5,45,,,225
4/19/2022,Dumbbell Shoulder Press,Shoulders,5,8,30,,,240
4/19/2022,Dumbbell Bench Press,Chest,1,10,30,,,300
4/19/2022,Dumbbell Bench Press,Chest,2,5,55,,,275
4/19/2022,Dumbbell Bench Press,Chest,3,6,55,,,330
4/19/2022,Dumbbell Bench Press,Chest,4,8,30,,,240
4/19/2022,Dumbbell Incline Bench Press,Chest,1,10,30,,,300
4/19/2022,Dumbbell Incline Bench Press,Chest,2,6,45,,,270
4/19/2022,Dumbbell Incline Bench Press,Chest,3,8,45,,,360
4/19/2022,Dumbbell Incline Bench Press,Chest,4,8,30,,,240
4/19/2022,Lat Raise,Shoulders,1,12,10,,,120
4/19/2022,Lat Raise,Shoulders,2,10,10,,,100
4/19/2022,Lat Raise,Shoulders,3,10,10,,,100
4/19/2022,Front Raise,Shoulders,1,12,10,,,120
4/19/2022,Front Raise,Shoulders,2,10,10,,,100
4/19/2022,Front Raise,Shoulders,3,10,10,,,100
4/23/2022,Dips,Triceps,1,12,,,,0
4/23/2022,Dips,Triceps,2,12,,,,0
4/23/2022,Pull Up,Back,1,8,,,,0
4/23/2022,Pull Up,Back,2,8,,,,0
4/23/2022,Dumbbell Shoulder Press,Shoulders,1,8,35,,,280
4/23/2022,Dumbbell Shoulder Press,Shoulders,2,8,35,,,280
4/23/2022,Dumbbell Shoulder Press,Shoulders,3,8,35,,,280
4/23/2022,Dumbbell Shoulder Press,Shoulders,4,8,35,,,280
4/23/2022,Dumbbell Bench Press,Chest,1,8,35,,,280
4/23/2022,Dumbbell Bench Press,Chest,2,8,45,,,360
4/23/2022,Dumbbell Bench Press,Chest,3,8,45,,,360
4/23/2022,Dumbbell Bench Press,Chest,4,8,50,,,400
4/23/2022,Dumbbell Incline Bench Press,Chest,1,8,35,,,280
4/23/2022,Dumbbell Incline Bench Press,Chest,2,8,35,,,280
4/23/2022,Dumbbell Incline Bench Press,Chest,3,8,40,,,320
4/24/2022,Dumbbell Shoulder Press,Shoulders,1,8,35,,,280
4/24/2022,Dumbbell Shoulder Press,Shoulders,2,10,35,,,350
4/24/2022,Dumbbell Shoulder Press,Shoulders,3,10,35,,,350
4/24/2022,Lat Raise,Shoulders,1,10,15,,,150
4/24/2022,Lat Raise,Shoulders,2,10,15,,,150
4/24/2022,Lat Raise,Shoulders,3,12,15,,,180
4/25/2022,Chin Up,Biceps,1,6,,,,0
4/25/2022,Chin Up,Biceps,2,6,,,,0
4/25/2022,Pull Up,Back,1,8,,,,0
4/25/2022,Pull Up,Back,2,6,,,,0
4/25/2022,Dumbbell Bench Press,Chest,1,10,40,,,400
4/25/2022,Dumbbell Bench Press,Chest,2,8,50,,,400
4/25/2022,Dumbbell Bench Press,Chest,3,8,60,,,480
4/25/2022,Dumbbell Bench Press,Chest,4,8,50,,,400
4/26/2022,Chin Up,Biceps,1,5,,,,0
4/26/2022,Chin Up,Biceps,1,5,,,,0
4/26/2022,Pull Up,Back,1,5,,,,0
4/26/2022,Pull Up,Back,2,5,,,,0
4/26/2022,Pull Up,Back,1,5,10,,,50
4/26/2022,Pull Up,Back,2,5,10,,,50
4/26/2022,Pull Up,Back,3,5,10,,,50
4/26/2022,Chin Up,Biceps,1,5,10,,,50
4/26/2022,Chin Up,Biceps,2,5,10,,,50
4/26/2022,Chin Up,Biceps,3,5,10,,,50
4/26/2022,Dips,Triceps,1,8,,,,0
4/26/2022,Dips,Triceps,2,8,,,,0
4/26/2022,Dips,Triceps,3,8,,,,0
4/27/2022,Chin Up,Biceps,1,5,,,,0
4/27/2022,Chin Up,Biceps,2,5,,,,0
4/27/2022,Chin Up,Biceps,3,5,,,,0
4/27/2022,Chin Up,Biceps,4,5,,,,0
4/27/2022,Chin Up,Biceps,5,5,,,,0
4/27/2022,Pull Up,Back,1,5,,,,0
4/27/2022,Pull Up,Back,2,5,,,,0
4/27/2022,Pull Up,Back,3,5,,,,0
4/27/2022,Pull Up,Back,4,5,,,,0
4/27/2022,Pull Up,Back,5,5,,,,0
4/27/2022,Lat Raise,Shoulders,1,10,15,,,150
4/27/2022,Lat Raise,Shoulders,2,10,15,,,150
4/27/2022,Lat Raise,Shoulders,3,10,15,,,150
4/27/2022,Lat Raise,Shoulders,4,10,15,,,150
4/27/2022,Lat Raise,Shoulders,5,10,15,,,150
4/28/2022,Chin Up,Biceps,1,5,,,,0
4/28/2022,Chin Up,Biceps,2,5,,,,0
4/28/2022,Chin Up,Biceps,3,5,,,,0
4/28/2022,Dips,Triceps,1,10,,,,0
4/28/2022,Dips,Triceps,2,10,,,,0
4/28/2022,Dips,Triceps,3,10,,,,0
4/28/2022,Dumbbell Shoulder Press,Shoulders,1,10,30,,,300
4/28/2022,Dumbbell Shoulder Press,Shoulders,2,10,30,,,300
4/28/2022,Dumbbell Shoulder Press,Shoulders,3,5,35,,,175
4/28/2022,Dumbbell Shoulder Press,Shoulders,4,5,40,,,200
4/28/2022,Dumbbell Shoulder Press,Shoulders,4,5,30,,,150
4/28/2022,Dumbbell Shoulder Press,Shoulders,5,5,40,,,200
4/28/2022,Dumbbell Shoulder Press,Shoulders,5,5,35,,,175
4/28/2022,Dumbbell Shrug,Back,1,12,35,,,420
4/28/2022,Dumbbell Shrug,Back,2,10,40,,,400
4/28/2022,Dumbbell Shrug,Back,3,10,45,,,450
4/28/2022,Dumbbell Shrug,Back,3,5,40,,,200
4/28/2022,Dumbbell Shrug,Back,4,10,40,,,400
4/28/2022,Dumbbell Shrug,Back,5,8,40,,,320
4/28/2022,Lat Raise,Shoulders,1,15,10,,,150
4/28/2022,Lat Raise,Shoulders,2,15,10,,,150
4/28/2022,Lat Raise,Shoulders,3,10,10,,,100
4/28/2022,Lat Raise,Shoulders,4,10,15,,,150
5/1/2022,Chin Up,Biceps,1,6,,,,0
5/1/2022,Dips,Triceps,1,10,,,,0
5/1/2022,Dips,Triceps,2,10,,,,0
5/1/2022,Dips,Triceps,3,10,,,,0
5/1/2022,Dips,Triceps,4,10,,,,0
5/1/2022,Pull Up,Back,1,8,,,,0
5/1/2022,Pull Up,Back,2,5,,,,0
5/1/2022,Pull Up,Back,3,4,,,,0
5/1/2022,Pull Up,Back,3,2,,,,0
